Name,Sector,Likely_ATS_UNVERIFIED,Notes
Dow,SPECIALTY_CHEM,WORKDAY,Large rotational development program; Midland MI and Freeport TX
DuPont,SPECIALTY_CHEM,WORKDAY,Delaware Valley - relevant if you are near New Castle
Chemours,SPECIALTY_CHEM,WORKDAY,Wilmington DE headquarters
BASF,SPECIALTY_CHEM,SUCCESSFACTORS,Largest chemical company globally; US sites in NJ and TX
Eastman Chemical,SPECIALTY_CHEM,WORKDAY,Kingsport TN
Celanese,SPECIALTY_CHEM,WORKDAY,Irving TX
Huntsman,SPECIALTY_CHEM,UNKNOWN,
LyondellBasell,SPECIALTY_CHEM,UNKNOWN,Houston
Westlake,SPECIALTY_CHEM,UNKNOWN,
Olin,SPECIALTY_CHEM,UNKNOWN,Chlor-alkali
Albemarle,SPECIALTY_CHEM,UNKNOWN,Lithium and bromine
Ashland,SPECIALTY_CHEM,UNKNOWN,
Lubrizol,SPECIALTY_CHEM,UNKNOWN,Berkshire subsidiary
Cabot,MATERIALS,UNKNOWN,
Ecolab,SPECIALTY_CHEM,UNKNOWN,
PPG,MATERIALS,UNKNOWN,Coatings
Sherwin-Williams,MATERIALS,UNKNOWN,Coatings
Air Products,SPECIALTY_CHEM,WORKDAY,Allentown PA; industrial gases and hydrogen
Linde,SPECIALTY_CHEM,SUCCESSFACTORS,Industrial gases
Honeywell,SPECIALTY_CHEM,SUCCESSFACTORS,UOP division is the process-licensing arm
Corteva,SPECIALTY_CHEM,WORKDAY,Agriscience; DuPont spinoff
3M,MATERIALS,WORKDAY,
ExxonMobil,OIL_GAS,PHENOM,Strong new-grad pipeline; Baytown and Baton Rouge
Chevron,OIL_GAS,WORKDAY,
Phillips 66,OIL_GAS,UNKNOWN,
Marathon Petroleum,OIL_GAS,UNKNOWN,
Valero,OIL_GAS,ICIMS,
Shell,OIL_GAS,UNKNOWN,
bp,OIL_GAS,UNKNOWN,
ConocoPhillips,OIL_GAS,UNKNOWN,
Koch Industries,OIL_GAS,UNKNOWN,Includes Flint Hills Resources
Merck,PHARMA_BIOTECH,UNKNOWN,Process development and drug substance roles
Pfizer,PHARMA_BIOTECH,WORKDAY,
Johnson & Johnson,PHARMA_BIOTECH,WORKDAY,
AbbVie,PHARMA_BIOTECH,UNKNOWN,
Amgen,PHARMA_BIOTECH,WORKDAY,Strong bioprocess engineering track
Genentech,PHARMA_BIOTECH,UNKNOWN,Roche subsidiary
Moderna,PHARMA_BIOTECH,GREENHOUSE,
Eli Lilly,PHARMA_BIOTECH,WORKDAY,
Bristol Myers Squibb,PHARMA_BIOTECH,UNKNOWN,
Incyte,PHARMA_BIOTECH,UNKNOWN,Wilmington DE
Intel,SEMICONDUCTOR,WORKDAY,Process and yield engineering; ChemE is a core feeder major
Micron,SEMICONDUCTOR,WORKDAY,
TSMC Arizona,SEMICONDUCTOR,UNKNOWN,
Applied Materials,SEMICONDUCTOR,WORKDAY,
Lam Research,SEMICONDUCTOR,WORKDAY,
Texas Instruments,SEMICONDUCTOR,UNKNOWN,
GlobalFoundries,SEMICONDUCTOR,UNKNOWN,
Tesla,ENERGY_STORAGE,GREENHOUSE,Cell manufacturing and materials
Form Energy,ENERGY_STORAGE,GREENHOUSE,Iron-air batteries; Weirton WV
Redwood Materials,ENERGY_STORAGE,LEVER,Battery recycling; hydrometallurgy
Sila Nanotechnologies,ENERGY_STORAGE,GREENHOUSE,
QuantumScape,ENERGY_STORAGE,GREENHOUSE,
Plug Power,ENERGY_STORAGE,UNKNOWN,Hydrogen and electrolyzers
Procter & Gamble,FOOD_CPG,UNKNOWN,Well-known ChemE rotational program
Unilever,FOOD_CPG,WORKDAY,
Colgate-Palmolive,FOOD_CPG,UNKNOWN,
Kimberly-Clark,FOOD_CPG,UNKNOWN,
PepsiCo,FOOD_CPG,WORKDAY,
Kraft Heinz,FOOD_CPG,UNKNOWN,
General Mills,FOOD_CPG,UNKNOWN,
Cargill,FOOD_CPG,WORKDAY,
ADM,FOOD_CPG,UNKNOWN,
Fluor,EPC,UNKNOWN,Process design consultancy path
Bechtel,EPC,UNKNOWN,
Jacobs,EPC,UNKNOWN,
KBR,EPC,UNKNOWN,
Worley,EPC,UNKNOWN,
Wood,EPC,UNKNOWN,
Burns & McDonnell,EPC,UNKNOWN,
